Group,Sex,Age_Group,Data,Fit_Mode,Segment_Years,Segment_Start,Segment_End,N,Slope,Intercept,r
Chinese,Female,40-90,Training,independent_segment,10,60.0,70.0,3715,-0.379917263766337,23.308698301546077,-0.290178041309407
Chinese,Female,40-90,Training,independent_segment,10,70.0,80.0,1768,-0.21121389812050867,11.637898206812102,-0.14000628807022844
Chinese,Female,40-90,Training,independent_segment,10,80.0,90.0,206,-0.12281859036874318,4.909334026375591,-0.07142052068914082
Chinese,Female,40-90,Observed,linear,all,41.0,78.0,324,-0.5650564248700862,37.446249152894424,-0.7355999985208227
Chinese,Female,40-90,Observed,independent_segment,10,40.0,50.0,54,-0.5041614056400752,34.93039959601862,-0.29852780461717243
Chinese,Female,40-90,Observed,independent_segment,10,50.0,60.0,122,-0.8533137941973455,53.083995160205596,-0.4821050384559325
Chinese,Female,40-90,Observed,independent_segment,10,60.0,70.0,110,-0.4744688823713457,31.797232679335487,-0.2761587161427582
Chinese,Female,40-90,Observed,independent_segment,10,70.0,80.0,38,-0.6633891301038226,45.07047855943771,-0.34574507006281985
Chinese,Male,5-40,Training,linear,all,5.016997,40.0,7541,-0.12116577593919742,1.9628249441094614,-0.49142152883042595
Chinese,Male,5-40,Training,independent_segment,10,5.0,15.0,3753,-0.04034499790282227,0.7479363704668811,-0.08841234185658953
Chinese,Male,5-40,Training,independent_segment,10,15.0,25.0,2384,-0.07322253404810043,1.6899585466660558,-0.140105473654143
Chinese,Male,5-40,Training,independent_segment,10,25.0,35.0,1186,-0.29550288029638955,7.127158867476023,-0.3556407171215115
Chinese,Male,5-40,Training,independent_segment,10,35.0,40.0,218,-1.013895115426924,31.89847323079066,-0.4198570762913709
Chinese,Male,5-40,Observed,linear,all,17.0,39.0,418,-0.6381752118169352,14.265729049167534,-0.5768495655554698
Chinese,Male,5-40,Observed,independent_segment,10,15.0,25.0,333,-0.3419788317402162,7.997790065557584,-0.15651351698523586
Chinese,Male,5-40,Observed,independent_segment,10,25.0,35.0,74,-0.9368786762305283,23.628066993433883,-0.5642959209839901
Chinese,Male,5-40,Observed,independent_segment,10,35.0,40.0,11,-1.7199503033996497,49.68628131555257,-0.6067972186243783
Chinese,Male,40-90,Training,linear,all,40.08,90.0,7788,-0.36475042810041053,22.758143917659865,-0.6375979476861666
