column,original_order_mean,sorted_by_age_mean,difference_sorted_minus_original,absolute_difference,original_nonblank,sorted_nonblank
L_rostralanteriorcingulate_surfavg,743.9538461538461,743.9538461538461,0.0,0.0,325,325
R_caudalanteriorcingulate_surfavg,675.4892307692307,675.4892307692307,0.0,0.0,325,325
R_cuneus_surfavg,1516.2276923076922,1516.2276923076922,0.0,0.0,325,325
R_caudalmiddlefrontal_surfavg,1851.3907692307691,1851.3907692307691,0.0,0.0,325,325
R_entorhil_surfavg,359.36615384615385,359.36615384615385,0.0,0.0,325,325
R_fusiform_surfavg,2791.5938461538462,2791.5938461538462,0.0,0.0,325,325
R_inferiorparietal_surfavg,4987.947692307693,4987.947692307693,0.0,0.0,325,325
R_inferiortemporal_surfavg,3054.713846153846,3054.713846153846,0.0,0.0,325,325
R_bankssts_surfavg,832.1353846153846,832.1353846153846,0.0,0.0,325,325
L_transversetemporal_surfavg,438.36615384615385,438.36615384615385,0.0,0.0,325,325
L_insula_surfavg,2244.833846153846,2244.833846153846,0.0,0.0,325,325
L_temporalpole_surfavg,487.76307692307694,487.76307692307694,0.0,0.0,325,325
L_frontalpole_surfavg,246.46769230769232,246.46769230769232,0.0,0.0,325,325
L_supramargil_surfavg,3652.190769230769,3652.190769230769,0.0,0.0,325,325
L_superiortemporal_surfavg,3601.8553846153845,3601.8553846153845,0.0,0.0,325,325
L_superiorparietal_surfavg,4997.876923076923,4997.876923076923,0.0,0.0,325,325
L_postcentral_surfavg,3896.0584615384614,3896.0584615384614,0.0,0.0,325,325
L_posteriorcingulate_surfavg,1086.1046153846153,1086.1046153846153,0.0,0.0,325,325
L_precentral_surfavg,4560.581538461539,4560.581538461539,0.0,0.0,325,325
L_superiorfrontal_surfavg,6424.981538461539,6424.981538461539,0.0,0.0,325,325
L_precuneus_surfavg,3530.803076923077,3530.803076923077,0.0,0.0,325,325
R_isthmuscingulate_surfavg,894.1169230769231,894.1169230769231,0.0,0.0,325,325
L_rostralmiddlefrontal_surfavg,5073.676923076923,5073.676923076923,0.0,0.0,325,325
R_posteriorcingulate_surfavg,1113.513846153846,1113.513846153846,0.0,0.0,325,325
R_lateraloccipital_surfavg,4484.467692307692,4484.467692307692,0.0,0.0,325,325
R_lateralorbitofrontal_surfavg,2372.0307692307692,2372.0307692307692,0.0,0.0,325,325
R_insula_surfavg,2203.8276923076924,2203.8276923076924,0.0,0.0,325,325
R_transversetemporal_surfavg,320.05538461538464,320.05538461538464,0.0,0.0,325,325
R_temporalpole_surfavg,476.4769230769231,476.4769230769231,0.0,0.0,325,325
R_frontalpole_surfavg,302.7415384615385,302.7415384615385,0.0,0.0,325,325
R_supramargil_surfavg,3391.996923076923,3391.996923076923,0.0,0.0,325,325
R_superiortemporal_surfavg,3428.055384615385,3428.055384615385,0.0,0.0,325,325
R_superiorparietal_surfavg,4868.753846153846,4868.753846153846,0.0,0.0,325,325
R_superiorfrontal_surfavg,6106.830769230769,6106.830769230769,0.0,0.0,325,325
R_rostralmiddlefrontal_surfavg,5129.132307692308,5129.132307692308,0.0,0.0,325,325
R_rostralanteriorcingulate_surfavg,563.5784615384615,563.5784615384615,0.0,0.0,325,325
R_precuneus_surfavg,3671.036923076923,3671.036923076923,0.0,0.0,325,325
R_precentral_surfavg,4514.609230769231,4514.609230769231,0.0,0.0,325,325
L_parstriangularis_surfavg,1220.5076923076922,1220.5076923076922,0.0,0.0,325,325
R_postcentral_surfavg,3818.8246153846153,3818.8246153846153,0.0,0.0,325,325
R_pericalcarine_surfavg,1509.5661538461538,1509.5661538461538,0.0,0.0,325,325
R_parstriangularis_surfavg,1438.596923076923,1438.596923076923,0.0,0.0,325,325
R_parsorbitalis_surfavg,737.1753846153846,737.1753846153846,0.0,0.0,325,325
